日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
101/03/01,"21,239,827","1,710,833,901",81.00,81.00,80.10,80.10,-1.00,"6,032"
101/03/02,"23,912,512","1,903,984,572",80.00,80.10,79.20,80.00,-0.10,"7,219"
101/03/03,"7,341,542","582,164,539",79.10,79.60,79.10,79.30,-0.70,"2,856"
101/03/05,"22,825,263","1,800,269,666",78.70,79.60,78.50,78.90,-0.40,"7,120"
101/03/06,"27,779,665","2,190,390,269",79.60,79.60,78.30,79.50,+0.60,"6,610"
101/03/07,"30,335,373","2,397,735,943",79.00,79.30,78.70,79.10,-0.40,"7,673"
101/03/08,"36,967,094","2,946,734,735",79.80,80.20,79.20,79.70,+0.60,"8,363"
101/03/09,"22,731,319","1,808,011,258",79.50,80.00,78.80,80.00,+0.30,"5,725"
101/03/12,"28,952,164","2,324,706,990",80.20,80.50,79.60,80.00,0.00,"9,433"
101/03/13,"48,137,168","3,890,801,446",80.60,81.30,80.10,81.30,+1.30,"13,492"
101/03/14,"63,309,967","5,249,393,947",82.40,83.20,82.00,83.20,+1.90,"19,676"
101/03/15,"30,609,333","2,539,385,308",83.20,83.20,82.50,83.20,0.00,"8,083"
101/03/16,"29,210,462","2,408,154,058",83.20,83.80,81.10,81.10,-2.10,"7,247"
101/03/19,"37,508,089","3,122,020,988",83.70,84.20,82.40,83.70,+2.60,"9,547"
101/03/20,"30,105,892","2,514,856,356",84.00,84.10,82.80,83.20,-0.50,"10,460"
101/03/21,"76,183,506","6,457,880,070",84.80,85.20,83.80,84.90,+1.70,"15,662"
101/03/22,"38,057,031","3,237,513,284",85.00,85.70,84.30,85.20,+0.30,"11,767"
101/03/23,"29,495,296","2,502,726,135",85.00,85.40,84.40,85.40,+0.20,"7,136"
101/03/26,"59,940,923","4,994,279,778",85.10,85.10,82.50,83.60,-1.80,"12,949"
101/03/27,"38,560,309","3,278,129,021",85.00,85.80,84.30,85.80,+2.20,"12,672"
101/03/28,"28,304,065","2,423,045,022",86.50,86.50,84.60,85.50,-0.30,"7,402"
101/03/29,"49,939,887","4,189,509,235",84.50,84.50,83.40,84.10,-1.40,"9,545"
101/03/30,"43,825,171","3,674,698,400",83.70,84.90,82.90,84.90,+0.80,"9,943"
