日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/04/01,"31,247,086","18,328,227,645",585.00,589.00,584.00,589.00,-8.00,"53,178"
111/04/06,"40,726,932","23,547,636,944",578.00,580.00,575.00,578.00,-11.00,"62,822"
111/04/07,"47,212,937","26,881,649,976",571.00,573.00,566.00,566.00,-12.00,"130,552"
111/04/08,"31,406,384","17,821,660,486",567.00,570.00,566.00,567.00,+1.00,"75,778"
111/04/11,"41,713,758","23,401,330,531",563.00,566.00,558.00,558.00,-9.00,"130,731"
111/04/12,"34,799,056","19,418,030,839",554.00,564.00,552.00,557.00,-1.00,"69,280"
111/04/13,"36,968,137","21,134,384,849",564.00,576.00,563.00,573.00,+16.00,"41,249"
111/04/14,"20,224,847","11,618,596,373",577.00,578.00,573.00,573.00,0.00,"27,442"
111/04/15,"33,158,930","18,667,922,752",562.00,566.00,561.00,562.00,-11.00,"99,936"
111/04/18,"16,579,296","9,311,198,146",559.00,566.00,558.00,561.00,-1.00,"31,712"
111/04/19,"18,811,242","10,639,032,272",566.00,569.00,563.00,565.00,+4.00,"24,598"
111/04/20,"28,240,222","16,016,967,192",570.00,570.00,562.00,570.00,+5.00,"28,615"
111/04/21,"21,539,083","12,221,437,009",571.00,571.00,565.00,565.00,-5.00,"28,847"
111/04/22,"35,567,672","19,849,449,551",558.00,559.00,557.00,558.00,-7.00,"81,550"
111/04/25,"49,067,362","26,907,070,565",550.00,552.00,546.00,547.00,-11.00,"165,619"
111/04/26,"39,549,934","21,628,474,846",550.00,551.00,544.00,546.00,-1.00,"90,252"
111/04/27,"65,034,122","34,416,315,121",530.00,532.00,526.00,526.00,-20.00,"217,895"
111/04/28,"50,406,145","26,653,291,522",530.00,532.00,523.00,531.00,+5.00,"79,897"
111/04/29,"39,960,198","21,586,196,160",547.00,547.00,535.00,538.00,+7.00,"41,498"
