日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
107/11/01,"44,514,797","10,480,329,245",236.00,237.00,233.00,235.50,+1.50,"11,435"
107/11/02,"30,785,361","7,249,667,833",236.50,236.50,233.50,236.50,+1.00,"11,223"
107/11/05,"28,157,065","6,592,130,635",233.00,235.50,232.00,235.00,-1.50,"6,994"
107/11/06,"35,501,176","8,311,988,968",234.00,235.50,232.50,234.50,-0.50,"7,013"
107/11/07,"39,842,652","9,337,023,278",233.00,236.00,232.50,234.00,-0.50,"7,387"
107/11/08,"28,086,146","6,645,771,069",237.50,237.50,236.00,236.50,+2.50,"9,461"
107/11/09,"23,792,081","5,526,997,792",234.50,234.50,231.00,231.00,-5.50,"7,886"
107/11/12,"26,202,445","6,101,377,163",230.00,234.50,230.00,231.50,+0.50,"6,252"
107/11/13,"37,565,127","8,504,691,960",224.50,228.00,224.50,227.50,-4.00,"11,507"
107/11/14,"24,565,279","5,639,284,241",230.00,231.00,228.50,228.50,+1.00,"6,007"
107/11/15,"22,230,228","5,124,189,444",229.50,232.00,228.50,231.00,+2.50,"5,996"
107/11/16,"47,138,909","10,696,822,542",229.00,229.00,225.00,226.00,-5.00,"16,009"
107/11/19,"51,034,754","11,355,347,628",225.00,225.00,221.00,222.00,-4.00,"16,289"
107/11/20,"45,686,756","9,995,960,780",219.00,220.50,218.00,218.00,-4.00,"16,874"
107/11/21,"38,478,343","8,361,178,460",214.50,220.00,214.00,219.00,+1.00,"13,580"
107/11/22,"22,060,610","4,867,686,945",221.50,222.00,219.00,219.00,0.00,"9,095"
107/11/23,"15,553,334","3,406,422,046",220.50,220.50,217.00,218.50,-0.50,"6,164"
107/11/26,"35,267,804","7,847,501,792",219.00,224.00,218.50,223.00,+4.50,"9,422"
107/11/27,"32,676,349","7,239,283,641",220.00,224.50,219.00,224.00,+1.00,"10,170"
107/11/28,"24,759,026","5,560,623,349",222.50,227.00,222.00,226.50,+2.50,"8,316"
107/11/29,"46,206,207","10,629,450,003",231.50,231.50,229.00,229.00,+2.50,"15,849"
107/11/30,"57,352,957","12,995,823,319",229.50,231.00,225.50,225.50,-3.50,"10,931"
